id,cust_id,cust_name,region,amount,value,date_col,key
1,00001,CUSTOMER ALPHA     ,NORTH,1000.50,500.25,2025-01-15,00001
2,00002,CUSTOMER BETA      ,SOUTH,2000.00,800.00,2025-02-01,00002
3,00003,CUSTOMER GAMMA     ,NORTH,1500.75,600.50,2025-01-20,00003
4,00004,CUSTOMER DELTA     ,EAST,3000.25,1200.10,2025-02-10,00004
5,00005,CUSTOMER EPSILON   ,SOUTH,800.00,320.00,2025-01-05,00005
6,00006,CUSTOMER ZETA      ,WEST,2200.00,880.00,2025-02-15,00006
7,00007,CUSTOMER ETA       ,NORTH,1100.00,440.00,2025-01-25,00007
8,00008,CUSTOMER THETA     ,EAST,950.50,380.20,2025-02-05,00008
9,00009,CUSTOMER IOTA      ,SOUTH,1750.00,700.00,2025-01-12,00009
10,00010,CUSTOMER KAPPA    ,WEST,2100.25,840.10,2025-02-20,00010
